Tweet ID,Tweet_count,Username,Text,Created At,Retweets,Likes
1848886401406013824,1,Elliot | WWWYF DAY 2,@Stultaloquy @theacademywas_ WHO'S TALKING SHIT I'LL KILL THEM,Wed Oct 23 00:37:23 +0000 2024,0,0
1848886372771455260,2,reid 🫧 missing wwwyf 18,@quack0_o so goated thanksie 😭😭❤️❤️ilu,Wed Oct 23 00:37:16 +0000 2024,0,1
1848884915263156692,3,mooncat 🔜 mentally at wwwyf,"@yelani0 @FiiMee @wtffolly_ @stars4louu God forbid you have a discussion about it rather than jumping straight to petty insults for jokes. Guess I expected better, my bad.",Wed Oct 23 00:31:29 +0000 2024,0,0
1848884691417338289,4,QUEENPIN,My Chemical Romance playing Disenchanted for the first time in 17 years is the only thing I have any FOMO for WWWYF whatsoever,Wed Oct 23 00:30:35 +0000 2024,0,7
1848883398041043389,5,reid 🫧 missing wwwyf 18,@sydney_blews credit card plz come in clutch,Wed Oct 23 00:25:27 +0000 2024,0,2
1848883002702721516,6,reid 🫧 missing wwwyf 18,face reveal ig idgaf Thank u olivia my goat https://t.co/ADuP7LMSve,Wed Oct 23 00:23:53 +0000 2024,0,4
1848882824306413888,7,alyssa 🎱🫧 - WWWYF!!,@theacademywas_ YES OMG ITS SO BAD like it won’t get better either i have been applying chapstick non stop,Wed Oct 23 00:23:10 +0000 2024,0,1
1848882616319283592,8,reid 🫧 missing wwwyf 18,@fobyaoi FUUUCKK https://t.co/iVXu4H9zY8,Wed Oct 23 00:22:20 +0000 2024,0,3
1848882239997632793,9,reid 🫧 missing wwwyf 18,GUYS OLIVIA JUST CLUTCHED WE MAY HAVE A VIDEO OF OOMFCHELLA ON THE JUMBOTRON DURING CENTURIES AT WWWY,Wed Oct 23 00:20:51 +0000 2024,0,2
1848881706092138853,10,lanceisrandom,My Mcr wwwyf scrapbook spread !🥀 https://t.co/ol3eTg5srV,Wed Oct 23 00:18:43 +0000 2024,0,1
1848881577524400336,11,击 Noxxus; Misses WWWYF 击,Oh em gawwwshhhh Cali moots hmu 🥰🥰🥰🥰😘😘😘😘😘,Wed Oct 23 00:18:13 +0000 2024,0,1
1848881291573264491,12,mooncat 🔜 mentally at wwwyf,"@yelani0 @FiiMee @wtffolly_ @stars4louu Try and remember there's an actual person at the end of this account, thanks",Wed Oct 23 00:17:05 +0000 2024,0,0
1848881189261553786,13,击 Noxxus; Misses WWWYF 击,THEY ALL POSTED AS SEPARATE THREADS IM CRYING SHDHSXHSHXB,Wed Oct 23 00:16:40 +0000 2024,0,1
1848880899091530019,14,击 Noxxus; Misses WWWYF 击,Oh my god I have to find my luggage 🤠,Wed Oct 23 00:15:31 +0000 2024,0,0
1848880896419762611,15,击 Noxxus; Misses WWWYF 击,Anyways WHEELS ON THE GROUND NOW YAYYYYYYYYYY I LOVE CALI 🤩🤩🤩🦅🇺🇸🇺🇸🇺🇸🦅🇺🇸🦅🦅🇺🇸,Wed Oct 23 00:15:30 +0000 2024,0,0
1848880893772902429,16,击 Noxxus; Misses WWWYF 击,I’ve never had more dread fill my entire body in my whole life,Wed Oct 23 00:15:30 +0000 2024,0,0
1848880890849726812,17,击 Noxxus; Misses WWWYF 击,There’s another ocean I’m not seeing right??? Right???? This is a jest??? A joke????? I NEED GOOGLE NEOW I NEED TRANSPORT OUT OF HEREEEEEEEE THERE ISNT ANOTHER BEACH,Wed Oct 23 00:15:29 +0000 2024,0,0
1848880888064450886,18,击 Noxxus; Misses WWWYF 击,I’m so embarrassed oh my god 😖😖😖 never trusting NO ONE again ughguguhguighuuguh,Wed Oct 23 00:15:28 +0000 2024,0,0
1848880885262954706,19,击 Noxxus; Misses WWWYF 击,WE’RE GOING FURTHER AWAYY Y. Y YY Y NONONONONONONONONO GO T O THE BEACH GANG IM ALWAYS BOOKING MY FLIGHTS FROM NOW ON IM SO COOKED CHAT,Wed Oct 23 00:15:28 +0000 2024,0,0
1848880882725380582,20,击 Noxxus; Misses WWWYF 击,Bitch oh ma god- WE AINT NOWHERE NEAR THE BEAAAAACCCCHHHHH CAN I GET A TRAIN?????? A BUS???,Wed Oct 23 00:15:27 +0000 2024,0,0
1848880879973888257,21,击 Noxxus; Misses WWWYF 击,CLOSER TO THE BEACH P L E A S E E E EE E E 🙏🙏🙏🙏🙏🙏🙏,Wed Oct 23 00:15:26 +0000 2024,0,0
1848880877725512031,22,击 Noxxus; Misses WWWYF 击,Please for the love of fuck tell me the airport isn’t THAT far away from the coastline. This fucking Uber is gonna be half my holiday fund oh my god. Chat this is why you book flights yourself actually and NOT trust someone else to,Wed Oct 23 00:15:26 +0000 2024,0,0
1848880875347579046,23,击 Noxxus; Misses WWWYF 击,I CAN SEE THE FUCKING OCEAN OMG YAAAAYYYYY I HAVENT SEEN IT IN SO LONG (ew I sound way too Australian actually crying),Wed Oct 23 00:15:25 +0000 2024,0,0
1848880872256360760,24,击 Noxxus; Misses WWWYF 击,No way the guy I was talking about in the first post ACTUALLY purchased in flight wifi for a 35 minute flight now THATS embarrassing,Wed Oct 23 00:15:25 +0000 2024,0,0
